A1:	Kain ni berapa harga?
A2:	Yang merah ada tak?
B3:	Yang tu empat puluh ringgit tapi kalau adik nak mak cik boleh bagi lagi tiga puluh lapan ringgitlah sepasang.
B4:	Ambik semualah sepuluh pasang ni.
B5:	Laku ini kain... nak yang mana tu?
A6:	Cuba ambik yang hijau tu nak tengok?
B7:	Yang ni baru sampai ni... ambik yang nilah---saya rasa pun yang ni lawa... kain dia kukuh---pakai tak kerecuk (berkedut).
A8:	Yang ni berapa?
B9:	Yang ni kak bagi empat puluh lapan ringgit.
B10:	Orang ambik banyak pun kak bagi harga ni jugak, kak bagi harga niaga dah ni.
A11:	Lepas tu berapa semua...
A12:	Tak boleh kurang lagi ke sikit.
A13:	---Buat tambang bas nak batik.
B14:	Nak lima puluh sen buat tambang bas....
B15:	Marilah pulak beli kain.
