A1:	Yang ni berapa ni?
B2:	Yang tu jual tujuh ringgit setengah -bagi tujuh ringgitlah.
B3:	Kak tengok-tengok dulu---nak yang mana---lepas tu kita kuranglah.
A4:	Tak ada yang besar sikit.
B5:	Yang nilah saiz dua puluh enam---yang depan kak tu saiz dua puluh enam.
B6:	Yang ni tak nak kak---baru sampai ni.
A7:	Berapa rial tu?
B8:	Ginilah kak---bagi lima belas ringgit, kak tengoklah... boleh kurang lagi harga.
A9:	Sepuluh ringgit bagi tak?
B10:	Sepuluh ringgit tak boleh kak, ginilah kita bagi harga kena selalulah, dua belas ringgit, kita pun nak jugak sikit.
A11:	Tahulah... saya pun nak jugak sikit.
B12:	Betul kak tak boleh kurang dah, orang lain jual antara lima belas ringgit dan empat belas ringgit tu.
B13:	Di atas lain jugak, kain kurang molek boleh bagi murah sikit lagi---tapi ni kain molek ni.
B14:	Kak nak dua helai ke?
B15:	Ginilah kak saya bagi setakat sebelas ringgit, potong seringgit lagi.
B16:	Lebih daripada itu tak boleh dah kak.
B17:	Boleh sikit sangat tu, kalau dapat untung banyak saya tak kisah... boleh potong lagi.
B18:	---Nak yang merah atau yang kuning?
A19:	Bolehlah kurang lagi---dua puluh satu ringgitlah.
B20:	Tak boleh dah kak.
B21:	Harga mari mahal dah (modal mahal).
A22:	Biarlah ambil sehelai dulu.
B23:	Seluarnya tak nak ke?
B24:	Yang ni comel ni---ada beg di pinggang.
B25:	Saiz dia dah tu.
A26:	Berapa ni?
B27:	Yang ni enam belas ringgit.
A28:	Cuba ambil saiz dua, seluar macam ini jugak.
B29:	Saiz dua tak ada?
A30:	Yang ni kecik sangat.
B31:	Yang tu padan dah... sebab saiz tak sama---tengok jenis adik ni---saiz dua kan besar pulak.
A32:	Berapa ni tadi?
B33:	Enam belas ringgit kak.
A34:	Takkan tak boleh kurang lagi dah.
B35:	Bagi lima belas ringgitlah kak---potong seringgit harga rendah dah tu.
A36:	Tiga belas ringgit bolehlah ya?
B37:	Ginilah kak bagi setakat empat belas ringgit, mintak seringgit sahaja lagi---kain dia molek ni
A38:	Bagilah tiga belas ringgit---ni ambik banyak ni...
B39:	Em... bolehlah, kak nak berapa helai yang ni?
A40:	Yang ni entah-entah sepuluh ringgit pun boleh bagi.
B41:	Eh... eh... jangan.
B42:	Kalau macam tu teruklah kita---ni pun sikit benar dapat---bukannya banyak dapat untung---pasal ambik banyak tu dapat harga tu, kalau tidak---tak boleh.

