B1:	Nak apa dia tu?
A2:	Seluar 'askar' ada?
B3:	Yang budak ke atau orang tua?
A4:	Untuk budak besar ni.
B5:	Yang nilah
B6:	---Dia ke nak pakai?
B7:	... Yang ni padan ni, terailah tak apa, kain dia tahan ni.
A8:	Berapa ni?
B9:	Lapan belas ringgit saja.
A10:	Mahalnya!
B11:	Lapan belas ringgit ni murah dah, kalau di gudang-gudang besar tak boleh harga ni---mahal lagi.
A12:	Saiz berapa ni?
B13:	Saiz dua puluh lapan.
A14:	Yang tu berapa sehelai?
B15:	Yang tu tak mahal---ada tiga saiz, dua, empat dan enam, ada tiga cahaya (warna).
A16:	Berapa?
B17:	Bagi empat ringgit lapan puluh, orang lain jual enam setengah.
A18:	Apa pula lapan puluh sen tu.
A19:	tolak-tolak gilah---fesyen lain tak ada?
B20:	Tak ada dah---ni saja---gambar ninja---comel ni---nak warna apa tu ambik merahlah.
A21:	Lepas tu yang tu boleh bagi berapa?
B22:	Yang tu saya bagi enam belas ringgit yahlah---kurang dua ringgit.
A23:	Bagi sepuluh ringgitlah.
B24:	Eh, enam belas ringgit murah benar dah tu tak boleh sepuluh ringgit---modal lebih dari tu.
A25:	Kalau bagi sepuluh ringgit saya ambik.
B26:	Tak boleh---orang beli di sebelah luar (tempat lain seperti KL) dua puluh lima ringgit ni tapi di Kelantan ni murah saja kita jual pasal barang sini gi sebelah luar---jadi mahallah.
B27:	Kalau barang sana mari sini kita pulak mahal.
A28:	Kuranglah sikit lagi.
B29:	Tak leh dah dik---modal lebih dah ni.
A30:	Yang ni pulak?
B31:	Yang tu saya bagi setakat empat ringgit lebih daripada tu tak boleh dah.
A32:	Semulalah (lain kali sahajalah) .
B33:	Semula gak tak ada dahlah
B34:	---Gambar ni bukan ada selalu.
A35:	Gambar dia pun tak molek.
B36:	Biasalah ni---gambar untuk budak-budak dah tu....
B37:	Ambik yang teballah.
B38:	Musim-musim ni, malam sejuk-sejuk benar malam sekarang.
A39:	Kiralah yang ni.

