B1:	*pro_2nd_S* Pilih-pilihlah.
B2:	*pro_2nd_S* Nak apa tu?
A3:	Yang ni berapa?
B4:	*pro_3rd_S* Enam ringgit.
A5:	*pro_2nd_S* Bagi *pro_1st_IO* lima ringgitlah.
B6:	*pro_1st_S* Tak boleh sebab orang lain jual *pro_3rd_IO* enam setengah belaka.
A7:	*pro_2nd_S* Bagilah *pro_1st_IO* yang ni tiga ringgit dan yang ni dua ringgit, kain *pro_3rd_P* tak comel ni.
B8:	Tak comel apa?
B9:	Kain *pro_3rd_P* molek ni.
A10:	*pro_3rd_S* Taklah bila *pro_1st_S* dah basuh*pro_3rd_DO* ---*pro_3rd_S* kerecuk ni.
B11:	*pro_3rd_S* Taklah kain ni makin *pro_1st_S* basuh makin cerah warna dia, *pro_3rd_S* bukan *pro_1st_S* basuh makin gelap ni.
A12:	*pro_2nd_S* Tak boleh ke *pro_3rd_S* lima ringgit.
B13:	*pro_1st_S* Tak boleh dah---harga *pro_3rd_P* paling murah dah ni.
A14:	*pro_3rd_S* Lima ringgit setengahlah.
B15:	Saya bagi *pro_2nd_IO* murah benar dah tu...
B16:	Lepas tu *pro_2nd_S* nak warna apa tu?
A17:	Yang ni kalau *pro_2nd_S* bagi *pro_1st_IO* dua ringgit *pro_1st_S* nak ni---entah-entah tempat lain *pro_3rd_S* boleh murah lagi daripada ini.
B18:	*pro_2nd_S* Gilah cari tempat lain---*pro_1st_S* nak tahu berapa dia bagi *pro_2nd_S* tak dapat harga ni.
A19:	Lepas tu berapa *pro_2nd_S* boleh bagi?
B20:	*pro_2nd_S* Janganlah tawar *pro_3rd_DO* banyak sangat, kita boleh berapa sen saja ni, kita bagi *pro_2nd_IO* harga paling murah dah ni.
A21:	*pro_3rd_S* Tak boleh dua rial---*pro_3rd_S* mari dua setengahlah.
B22:	*pro_1st_S* Tak boleh.
A23:	*pro_2nd_S* Tak boleh biarlah---*pro_2nd_S* tengok seluar tadi.
A24:	Yang ni berapa rial?
B25:	Yang tu dua belas ringgit ada colour kuning dengan merah.
A26:	Yang besar sikit ada?
B27:	Besar sikit enam belas ringgit.
B28:	Sebab dia besar jadi *pro_2nd_S* kena tambahlah sikit---sebab dia lain-lain ni.
A29:	Pulak dah *pro_1st_S* tak ada duit nak tambah, *pro_2nd_S* bagi *pro_1st_IO* harga tulah.
B30:	*pro_2nd_S* Tak ada duit senang, baik dekat sini... *pro_1st_S* tak bolehlah bagi *pro_2nd_DO* serupa sebab barang *pro_3rd_P* lain-lain ni.
A31:	*pro_3rd_S* Boleh pakai ke ni?
B32:	*pro_3rd_S* Boleh dah, *pro_3rd_S* muat dah dengan dia...
B33:	*pro_3rd_S* Terai sini dulu tak apa.
A34:	Dia kata *pro_3rd_S* tak lawa pulak.
B35:	*pro_3rd_S* Tak lawa lagi, *pro_3rd_S* lawa dah ni, *pro_3rd_S* lawa lagi, *pro_3rd_S* comel lagi, *pro_3rd_S* cantik lagi, *pro_3rd_S* murah lagi.
B36:	*pro_2nd_S* nak colour apa, colour biru ke.
A37:	Seluar jeans ada?
B38:	Seluar jeans ada, saiz *pro_3rd_P* besar.
B39:	*pro_2nd_S* Ambik jenis nilah, *pro_3rd_S* boleh pakai buat sehe (buat pakai hari-hari) *pro_3rd_S* nak gi mana-mana.
A40:	Yang ni?
B41:	Yang tu kecik, dia tak boleh pakai ni.
