Subcorp	\Filename	ID	Start	End	Text	Comment	Role	ParentID	doc_completeness	prosub	1st	2nd	address
2003	2003-81.txt	1	481	484	kak	02				1	0	0	1
2003	2003-81.txt	10	609	613	kita					1	1	0	0
2003	2003-81.txt	7	713	717	Saya					1	1	0	0
2003	2003-81.txt	2	771	774	kak	02				1	0	0	1
2003	2003-81.txt	8	980	984	saya					1	1	0	0
2003	2003-81.txt	11	1046	1050	Kita					1	1	0	0
2003	2003-81.txt	3	1100	1103	kak	02				1	0	0	1
2003	2003-81.txt	4	1293	1296	kak	02				1	0	0	1
2003	2003-81.txt	12	1366	1370	kita					1	1	0	0
2003	2003-81.txt	5	1436	1439	kak	02				1	0	1	0
2003	2003-81.txt	9	1633	1637	saya					1	1	0	0
2003	2003-81.txt	6	1648	1651	kak	02				1	0	1	0
