Subcorp	Filename	ID	Start	End	Text	Comment	Role	ParentID	doc_completeness	prodrop	1st_S	1st_DO	1st_IO	1st_P	2nd_S	2nd_DO	2nd_IO	2nd_P	3rd_S	3rd_DO	3rd_IO	3rd_P
Texts	2005-Johor1.txt	0	4	7	Nak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Johor1.txt	0	13	16	nak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Johor1.txt	1	27	32	Masak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Johor1.txt	2	43	50	Bukalah					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Johor1.txt	3	60	65	letak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Johor1.txt	8	191	196	Taruh					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Johor1.txt	8	206	211	taruh					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Johor1.txt	9	238	243	Taruh					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Johor1.txt	10	289	294	minta					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Johor1.txt	10	295	301	bawang					1	0	0	0	0	0	0	1	0	0	0	0	0
Texts	2005-Johor1.txt	11	315	318	Nak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Johor1.txt	13	358	363	tabur					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Johor1.txt	13	365	370	tabur					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Johor1.txt	13	363	364	,					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2005-Johor1.txt	22	586	591	dekat					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Johor1.txt	24	655	658	Ada					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Johor1.txt	25	681	686	Minta					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Johor1.txt	25	687	691	satu					1	0	0	0	0	0	0	1	0	0	0	0	0
Texts	2005-Johor1.txt	30	807	811	Cari					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Johor1.txt	30	825	830	pergi					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Johor1.txt	30	812	815	ada					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2005-Johor1.txt	32	881	885	Cari					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Johor1.txt	32	891	896	pergi					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Johor1.txt	32	925	930	cakap					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Johor1.txt	32	907	913	potong					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Johor1.txt	33	958	961	dah					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Johor1.txt	33	967	972	balik					1	0	0	0	0	0	0	0	0	0	0	1	0
Texts	2005-Johor1.txt	35	1027	1038	kecil-kecil					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2005-Johor1.txt	35	1020	1026	potong					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Johor1.txt	37	1082	1090	Masukkan					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Johor1.txt	37	1091	1096	dalam					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2005-Johor1.txt	40	1179	1183	Buat					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Johor1.txt	41	1203	1208	Takut					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Johor1.txt	41	1209	1212	tak					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Johor1.txt	42	1225	1230	Ambil					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Johor1.txt	43	1242	1247	Ambil					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Johor1.txt	47	1350	1356	potong					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Johor1.txt	48	1400	1405	boleh					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Johor1.txt	50	1441	1446	Dapat					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Johor1.txt	50	1457	1461	dari					1	0	0	0	0	0	0	0	0	0	0	0	1
Texts	2005-Johor1.txt	51	1485	1493	hulurkan					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Johor1.txt	53	1525	1530	Ambil					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Johor1.txt	53	1547	1551	sini					1	0	0	0	0	0	0	0	0	0	1	0	0
