Subcorp	\Filename	ID	Start	End	Text	Comment	Role	ParentID	doc_completeness	prosub	1st	2nd	address
2005	2005-Johor1.txt	214	87	93	engkau					1	0	1	0
2005	2005-Johor1.txt	6	98	102	Long					1	0	0	1
2005	2005-Johor1.txt	7	426	430	Long					1	0	0	1
2005	2005-Johor1.txt	321	441	445	Long					1	0	0	1
2005	2005-Johor1.txt	322	447	451	Long					1	0	0	1
2005	2005-Johor1.txt	8	459	462	Mak					1	0	0	1
2005	2005-Johor1.txt	1	788	794	Engkau					1	0	1	0
2005	2005-Johor1.txt	9	1016	1024	Mak Ngah					1	0	0	1
2005	2005-Johor1.txt	3	1145	1153	Mak Ngah					1	0	0	1
2005	2005-Johor1.txt	26	1155	1163	Mak Ngah					1	0	0	1
2005	2005-Johor1.txt	4	1277	1280	Bik					1	0	0	1
2005	2005-Johor1.txt	5	1319	1325	engkau					1	0	1	0
2005	2005-Johor1.txt	2	1352	1355	Eti					1	0	0	1
2005	2005-Johor1.txt	10	1391	1394	aku					1	1	0	0
2005	2005-Johor1.txt	11	1439	1442	Nah					1	0	0	1
2005	2005-Johor1.txt	12	1488	1492	Long					1	0	0	1
2005	2005-Johor1.txt	13	1561	1568	Saripah					1	0	0	1
2005	2005-Johor1.txt	14	1591	1594	Mak					1	0	0	1
2005	2005-Johor1.txt	27	1610	1613	Mak					1	0	0	1
2005	2005-Johor1.txt	28	1617	1622	Abang					1	0	0	1
2005	2005-Johor1.txt	29	1694	1697	Mak					1	0	0	1
2005	2005-Johor1.txt	30	1726	1730	kamu					1	0	1	0
2005	2005-Johor1.txt	215	2129	2133	Bang					1	0	0	1
2005	2005-Johor1.txt	323	2205	2209	awak					1	0	1	0
2005	2005-Johor1.txt	31	2231	2234	Bah					1	0	0	1
2005	2005-Johor1.txt	324	2247	2250	Bah					1	0	0	1
2005	2005-Johor1.txt	325	2258	2264	Engaku					1	0	1	0
2005	2005-Johor1.txt	15	2371	2373	Nu					1	0	0	1
2005	2005-Johor1.txt	16	2391	2397	engkau					1	0	1	0
2005	2005-Johor1.txt	216	2407	2410	Mak					1	0	0	1
2005	2005-Johor1.txt	32	2527	2530	Aku					1	1	0	0
2005	2005-Johor1.txt	326	2654	2658	Long					1	0	0	1
2005	2005-Johor1.txt	327	2666	2670	Long					1	0	0	1
2005	2005-Johor1.txt	328	2695	2699	Long					1	0	0	1
2005	2005-Johor1.txt	329	2719	2725	engkau					1	0	1	0
2005	2005-Johor1.txt	17	2769	2773	Long					1	0	0	1
2005	2005-Johor1.txt	18	2851	2854	Lan					1	0	0	1
2005	2005-Johor1.txt	19	2892	2895	Lan					1	0	0	1
2005	2005-Johor1.txt	20	3177	3181	Nuar					1	0	0	1
2005	2005-Johor1.txt	33	3260	3263	Nah					1	0	1	0
2005	2005-Johor1.txt	34	3697	3700	Mak					1	0	0	1
2005	2005-Johor1.txt	35	3740	3744	saya					1	1	0	0
2005	2005-Johor1.txt	36	3811	3814	Mak					1	0	0	1
2005	2005-Johor1.txt	217	3838	3844	engkau					1	0	1	0
2005	2005-Johor1.txt	21	3879	3883	Long					1	0	0	1
2005	2005-Johor1.txt	22	3999	4002	Mah					1	0	0	1
2005	2005-Johor1.txt	96	4037	4042	arong					1	0	0	1
2005	2005-Johor1.txt	23	4244	4247	Mak					1	0	0	1
2005	2005-Johor1.txt	218	4309	4313	saya					1	1	0	0
2005	2005-Johor1.txt	330	4391	4397	sayang					1	0	0	1
2005	2005-Johor1.txt	331	4399	4405	sayang					1	0	0	1
2005	2005-Johor1.txt	25	4433	4439	Engkau					1	0	1	0
2005	2005-Johor1.txt	332	4456	4462	Sayang					1	0	0	1
2005	2005-Johor1.txt	333	4464	4470	sayang					1	0	0	1
2005	2005-Johor1.txt	334	4568	4575	Mak Tam					1	0	0	1
2005	2005-Johor1.txt	219	4577	4584	Mak Tam					1	0	0	1
2005	2005-Johor1.txt	220	4976	4984	Kak Long					1	0	0	1
2005	2005-Johor1.txt	221	4986	4994	Kak Long					1	0	0	1
2005	2005-Johor1.txt	222	5035	5038	Mak					1	0	0	1
2005	2005-Johor1.txt	223	5092	5095	Mak					1	0	0	1
2005	2005-Johor1.txt	224	5161	5164	Nah					1	0	0	1
2005	2005-Johor1.txt	225	5227	5230	Mak					1	0	0	1
2005	2005-Johor1.txt	37	5284	5288	Long					1	0	0	1
2005	2005-Johor1.txt	38	5523	5526	aku					1	1	0	0
2005	2005-Johor1.txt	39	5606	5610	Mama					1	0	0	1
2005	2005-Johor1.txt	40	5622	5626	Adik					1	0	0	1
2005	2005-Johor1.txt	227	5644	5648	Ngah					1	0	0	1
2005	2005-Johor1.txt	41	5668	5671	Dik					1	0	0	1
2005	2005-Johor1.txt	226	5687	5690	Dik					1	0	0	1
2005	2005-Johor1.txt	228	5698	5702	Adik					1	0	0	1
2005	2005-Johor1.txt	335	5773	5776	aku					1	1	0	0
2005	2005-Johor1.txt	42	5950	5954	Awak					1	0	1	0
2005	2005-Johor1.txt	43	6035	6042	Kak Nah					1	0	0	1
2005	2005-Johor1.txt	44	6206	6216	Pak Anjang					1	0	1	0
2005	2005-Johor1.txt	45	6249	6252	Mah					1	0	0	1
2005	2005-Johor1.txt	46	6273	6276	Mah					1	0	0	1
2005	2005-Johor1.txt	47	6300	6303	kau					1	0	1	0
2005	2005-Johor1.txt	229	6304	6308	Long					1	0	0	1
2005	2005-Johor1.txt	230	6316	6323	Mak nak					1	0	0	1
2005	2005-Johor1.txt	336	6333	6336	Aku					1	1	0	0
2005	2005-Johor1.txt	337	6375	6382	Mak Nek					1	0	0	1
2005	2005-Johor1.txt	338	6421	6424	Nah					1	0	0	1
2005	2005-Johor1.txt	339	6433	6437	Long					1	0	0	1
2005	2005-Johor1.txt	340	6439	6445	engkau					1	0	1	0
2005	2005-Johor1.txt	341	6462	6466	Long					1	0	0	1
2005	2005-Johor1.txt	342	6494	6498	Long					1	0	0	1
2005	2005-Johor1.txt	48	6617	6620	Tam					1	0	0	1
2005	2005-Johor1.txt	49	6628	6631	Mak					1	0	0	1
2005	2005-Johor1.txt	50	6881	6885	Long					1	0	0	1
2005	2005-Johor1.txt	51	6934	6937	Ana					1	0	0	1
2005	2005-Johor1.txt	52	6966	6968	Li					1	0	0	1
2005	2005-Johor1.txt	53	6989	6992	Aku					1	1	0	0
2005	2005-Johor1.txt	54	7070	7074	Long					1	0	0	1
2005	2005-Johor1.txt	55	7155	7161	engkau					1	0	1	0
2005	2005-Johor1.txt	56	7177	7180	Aku					1	1	0	0
2005	2005-Johor1.txt	57	7232	7236	Diah					1	0	0	1
2005	2005-Johor1.txt	58	7320	7324	Diah					1	0	0	1
2005	2005-Johor1.txt	59	7495	7503	Kak Long					1	0	0	1
2005	2005-Johor1.txt	60	7505	7513	Kak Long					1	0	0	1
2005	2005-Johor1.txt	61	7578	7581	Mak					1	0	0	1
2005	2005-Johor1.txt	62	7619	7623	Long					1	0	0	1
2005	2005-Johor1.txt	63	7653	7656	Wak					1	0	1	0
2005	2005-Johor1.txt	231	7667	7674	Kak Nab					1	0	0	1
2005	2005-Johor1.txt	232	7776	7780	Esah					1	0	0	1
2005	2005-Johor1.txt	64	7876	7880	Long					1	0	0	1
2005	2005-Johor1.txt	65	7999	8002	aku					1	1	0	0
2005	2005-Johor1.txt	66	8251	8255	Long					1	0	0	1
2005	2005-Johor1.txt	67	8381	8388	Pak Uda					1	0	0	1
2005	2005-Johor1.txt	68	8413	8416	Mak					1	0	0	1
2005	2005-Johor1.txt	69	8605	8609	Ayah					1	0	0	1
2005	2005-Johor1.txt	70	8617	8620	Mak					1	0	0	1
2005	2005-Johor1.txt	71	8731	8735	Ayah					1	0	0	1
2005	2005-Johor1.txt	72	8942	8945	Nor					1	0	0	1
2005	2005-Johor1.txt	73	8959	8962	Mak					1	0	0	1
2005	2005-Johor1.txt	74	9019	9023	Long					1	0	0	1
2005	2005-Johor1.txt	75	9072	9080	Mak Ngah					1	0	0	1
2005	2005-Johor1.txt	76	9110	9114	Bang					1	0	0	1
2005	2005-Johor1.txt	77	9125	9129	bang					1	0	0	1
2005	2005-Johor1.txt	233	9162	9165	Bah					1	0	0	1
2005	2005-Johor1.txt	234	9172	9175	Bah					1	0	0	1
2005	2005-Johor1.txt	235	9183	9188	Abang					1	0	0	0
2005	2005-Johor1.txt	236	9194	9199	abang					1	0	0	1
2005	2005-Johor1.txt	343	9208	9211	Mak					1	0	0	1
2005	2005-Johor1.txt	344	9254	9258	Long					1	0	0	1
2005	2005-Johor1.txt	78	9332	9336	Mama					1	1	0	0
2005	2005-Johor1.txt	79	9351	9354	Boy					1	0	0	1
2005	2005-Johor1.txt	80	9362	9365	Kak					1	0	0	1
2005	2005-Johor1.txt	345	9396	9402	engkau					1	0	1	0
2005	2005-Johor1.txt	81	9515	9518	Mak					1	0	0	1
2005	2005-Johor1.txt	82	9520	9523	mak					1	0	0	1
2005	2005-Johor1.txt	83	9945	9949	ljah					1	0	0	1
2005	2005-Johor1.txt	84	9967	9970	Mak					1	0	0	1
2005	2005-Johor1.txt	85	9972	9975	Cik					1	0	0	1
2005	2005-Johor1.txt	86	9977	9980	Cik					1	0	0	1
2005	2005-Johor1.txt	87	10031	10039	Mak Long					1	0	0	1
2005	2005-Johor1.txt	88	10063	10071	Mak Long					1	0	0	1
2005	2005-Johor1.txt	89	10146	10149	mak					1	0	0	1
2005	2005-Johor1.txt	90	10292	10296	kita					1	1	0	0
2005	2005-Johor1.txt	91	10421	10425	kita					1	1	0	0
2005	2005-Johor1.txt	92	10455	10459	saya					1	1	0	0
2005	2005-Johor1.txt	93	10517	10520	kau					1	0	1	0
2005	2005-Johor1.txt	94	10540	10543	kau					1	0	1	0
2005	2005-Johor1.txt	95	10567	10570	kau					1	0	1	0
2005	2005-Johor1.txt	24	10631	10634	aku					1	1	0	0
2005	2005-Johor1.txt	97	10782	10785	Kau					1	0	1	0
2005	2005-Johor1.txt	98	10840	10843	Aku					1	1	0	0
2005	2005-Johor1.txt	237	10947	10950	kau					1	0	1	0
2005	2005-Johor1.txt	238	11066	11072	sayang					1	0	0	1
2005	2005-Johor1.txt	239	11288	11295	Kak Teh					1	0	0	1
2005	2005-Johor1.txt	240	11346	11352	engkau					1	0	1	0
2005	2005-Johor1.txt	241	11405	11411	engkau					1	0	1	0
2005	2005-Johor1.txt	242	12004	12008	Saya					1	1	0	0
2005	2005-Johor1.txt	243	12114	12117	aku					1	1	0	0
2005	2005-Johor1.txt	244	12453	12458	abang					1	0	0	1
