A1:	Nak apa, nak buka?
A2:	Masak lagi?
B3:	Bukalah.
C4:	... letak lada merah.
A5:	Tak, engkau anu Long, biar....
B6:	Lampu bawah ada, kan.
C7:	Lampu bawah ada?
D8:	Bawang ada tak, sikit.
E9:	Taruh anu aje, taruh daun saderi aje dah.
E10:	Taruh daun saderi kalau bawang tak ada.
D11:	Boleh minta bawang goreng?
C12:	Nak buat apa?
A13:	Nenas, nenas!
D14:	Dah, tabur, tabur.

A15:	Berapa orang nak?
B16:	Ada dalam 20 orang.
A17:	Long, ambil ni Long, Long.

A18:	Mak, kain mana kain?
B19:	Ha?
A20:	Kain lap meja.
C21:	Kain buruk, kain buruk.
C22:	Kain buruk tak banyak sebenarnya.

A23:	Kalau dekat sana, orang panggil adiklah.
B24:	Apa, kalau Pak Ngah....

A25:	Ada pisau lebih tak?
A26:	Minta satu.
B27:	Pisau, selalu bukan main banyak pisau.

A28:	Oh.... Mariam.
B29:	Oh.... Mariam.

A30:	Engkau nak ke mana?
A31:	Cari ada dalam tu pergi depan dik, orang tengah anu.
B32:	Nah pisau.
A33:	Cari Ita, pergi cari Mak, potong lada besar cakap.
A34:	Ita bawa barang tadi dah bawa balik belum?
B35:	Eh, sedapnya limau.
A36:	Mak Ngah, potong kecil-kecil aje.
A37:	Kang orang makan tak habis.
A38:	Masukkan dalam bekas itu aje.
C39:	Dalam mangkuk...
D40:	Mak Ngah, Mak Ngah, berapa hidang?
E41:	Buat empat hidang.
D42:	Takut tak cukup.
F43:	Ambil tisu.
D44:	Ambil kain buruk satu.

A45:	Bik, air tu ada tak?
B46:	Tak.
A47:	Bapak engkau tak nak minum ke....
A48:	Eti, potong bawang kecil, terkial-kial aku.

A49:	Janji boleh buang.
B50:	Ha, ndak tak Nah?

A51:	Dapat perbezaan dari mana?
B52:	Cepat Long, hulurkan papan tu.
A53:	Ni, ha ni.
B54:	Ambil dulang tu, bawa sini Saripah.
A55:	Apa benda?
A56:	Mak!
A57:	Ambil ni Mak... Abang...
B58:	Orang ada kerja.
C59:	Ambil lagi satu orang nak buat dua.
D60:	Mak!

A61:	Pegang, pegang, Idah kamu berani Dah.
A62:	Tisu gulung tu.
B63:	Suruh orang.
C64:	Lailahaillallah.
B65:	Buruk tempat kain... masa hari tu banyak, kebetulan.
C66:	Dia, dia...
A67:	Cepat ni bawang!... motor....
C68:	Entah.
D69:	Dia kalau lagu ni....
A70:	Bawang goreng tadi mana?
B71:	Ada kat depan, depan.
A72:	Depan sekali.
C73:	Ni ha, ni ha, ni ha.
A74:	Nak tengok pengantin?
B75:	Ni bawang.
C76:	Biar kat situ dulu.

A77:	Bang, bukan main lawa lagi?
A78:	Ha... ha... ha....
A79:	Orang bukan tengok awak.
B80:	Ha... ah.
C81:	Bah, sini kejap Bah.

A82:	Engaku masak, buat rempah apa tu?
B83:	Ayam.
A84:	Ayam?
A85:	Tak yang dalam kuali tu.
B86:	Ikan.
A87:	Ikan?
A88:	Nu....
A89:	Cik Nor engkau....
B90:	Mak, pisau tak ada.
A91:	Pisau tadi mana?
B92:	Pada Mak Ngah.

A93:	Ni kalau dah masak, jangan letak atas dapur...
B94:	Aku ni, jangan-jangan salah duduk.

A95:	Licin.
B96:	Licin!
B97:	Boleh berjalan.
A98:	Yahl
C99:	Ya.
A100:	Ni, kenapa.
B101:	Eh Long!
B102:	Long!
B103:	Tak payah balik, Long, isi tu.
A104:	Eh, engkau lapik dua-dua?
B105:	Orang nak lapiklah ni Long.
A106:	Ha, yalah.
A107:	Eh, anu mana.
B108:	Ni, orang buat lap bingka.
C109:	Lan!
C110:	Tak siap lagi.
C111:	Ada, ada Lan?
C112:	Bagus tak tu?
B113:	Apa?
C114:	Tak ada, tempat air batu tu.
C115:	Tak adalah teruk sangat.
A116:	Sorang lagi buat apa tu?
B117:	Sorang lagi penyokong, ek Mak ek.
C118:	Sokong apa?

A119:	...dekat depan menangis?
B120:	Kira aje dia.
C121:	Dia tak ada.
B122:	Siapa ketua dia, Nuar?

A123:	Gaul rata-rata sikit.
B124:	Eh, garing macam panggang ayam.
A125:	Eh, Nah cukup lima hidang?
B126:	Ha?
A127:	Cukup lima hidang?
B128:	Lima hidang.
A129:	Boleh?
B130:	Bolehlah.
C131:	Moleklah ni.

A132:	Gelas, bawa keluar gelas.
B133:	Semua dah basuh!
A134:	Dah bersih.
C135:	Boleh ambil cawan ni?
B136:	Ambil ajelah.

A137:	Ha, nak pisau?
B138:	Orang belum korek lagi.
B139:	Tengok pada anu macam molek.
A140:	Nah, nah, nah.
A141:	Eh, orang dapur, naik ke rumah.
B142:	Ha... ha...
C143:	...belum ambil lagi Mak.
B144:	Hendak satu.
A145:	Tak tahulah, saya kalau boleh nak cepat, tapi dia nak saing dengan kakak dia.
A146:	Mak...
B147:	Itu sementara engkau anu tu... sayur tu masak...
C148:	Long!
D149:	Hoi.
C150:	Cuti?
D151:	Cuti.
E152:	Dapat anak saudara Zai, eh sepupu Zai...
F153:	Nak masuk sekali arong ke Mah?
G154:	Ha?
F155:	Nak masuk sekali arong?

A156:	Amy tak ikut?
B157:	Sana, pergi sana, budak tu ngikut orang.
A158:	Ha?
A159:	Pergi ambil kuih ni.

A160:	Dah setengah.
B161:	Eh, telur yang nak dianu tu, semua kat sini ya?
C162:	Ha, ah.
D163:	Mak, pergi rumah Mak Timah ke.
D164:	Eh, dah masak.

A165:	Suami saya masak... eh...
B166:	Panggil Mama, panggil Mama.
C167:	Sekejap, sekejap, ala sayang, sayang.

A168:	Nanti kejap.
B169:	Engkau curah ya?
A170:	Sayang, sayang.
C171:	Siapa nak limau ni?
B172:	Mak Cik yang suruh.
D173:	Ni, ni.
A174:	Ha, nak buat apa?
D175:	Mak Tam, Mak Tam.

A176:	Mana nasi?
B177:	Hei, kan dah keluar tadi.
C178:	Ma.
D179:	Yang hijau.

A180:	Ya ke, ambil, ambil.
A181:	Yang merah, merah.
B182:	Tak tahu, dia tak ada kat rumah Bang Long.
A183:	...pergi sembahyang kat masjid.
A184:	Pada dia, pada dia.
A185:	Lagi satu Kak ldah.
C186:	Kiah tak ada?
C187:	Kiah?
A188:	Yang merah tu.
D189:	Siapa makan nasi tu?
E190:	Uda, ha siapa sorang lagi.

A191:	Kak Long, Kak Long.
B192:	Orang makan ringan-ringan.
C193:	Mak, macam mana tu.
D194:	Kenapa tu?
D195:	Basuh.

A196:	Mak.
B197:	Sana sikit.
C198:	Adik nak dua.
D199:	Tolong ambilkan dua Nah.
C200:	Abang ada orang...
B201:	Minta dengan Nek Timah.
C202:	Mak.
D203:	Minta dengan nenek, minta dengan Nenek.
E204:	Long, kalau masak banyak senang orang nak makan.
D205:	Ha?
E206:	Masak banyak, nanti senang nak makan.

A207:	Bukan, bukan.
B208:	Ha, ha.
A209:	Macam biasa, macam biasalah.
C210:	Mana nak?
A211:	Macam biasalah potong dia.
D212:	Nanti dia, aku... Ngah.
A213:	Ha, macam inilah.
B214:	Jauh sangat, ada lada.
A215:	Ada.
C216:	Mama....

A217:	Adik nak makan?
B218:	Ngah, masuk lauk.
C219:	Dik, nak apa benda Dik.
C220:	Adik duduk sini.
C221:	Tudung termos ni mana tadi?
B222:	Semua dah keluar, aku tak tahu.
B223:	Semua dah keluarkan.
B224:	Keluar, keluar tadi.
D225:	Anjang mana?
B226:	Eh, ni tak boleh basuh.
A227:	Ni, ha, apa benda ni tudung termos.
B228:	Mana?
C229:	Awak sini.
B230:	Ha, apa tu?
A231:	Nampak?
E232:	Orang pakai.
F233:	Zailah tu.
A234:	Kak Nah, ambil.
G235:	Sana, satu aje.
A236:	Pukul 12 boleh balik.
A237:	Ni pukul berapa?
A238:	Pukul 12 boleh balik.
A239:	Nanti telefon pukul 12.

A240:	Eh, rumah, rumah Pak Anjang ada tak ni?
B241:	Ada...

A242:	Mah!
B243:	Oi.
A244:	Oh Mah!
B245:	Ha.

A246:	Kuat kau Long.
B247:	Mak nak...
A248:	Aku letak kat luar.

A249:	Yah!
B250:	Eh, Mak Nek...
C251:	Berair, berair...
D252:	Nasi Nah.

A253:	Long, engkau pergi ambil.... Long.
B254:	Besen kat sini mana Long?
C255:	Tadi nampak....

A256:	Senduk... mana pergi?
B257:	...tak tahu.
C258:	Cari apa?
B259:	Senduk, senduk besar ada Tam?
D260:	Mak, air masak.
A261:	Senduk, senduk lauk yang besar mana?
E262:	Ada kat sini.
A263:	Ada?
E264:	Hari tu senduk lauk boleh buat senduk nasi.

A265:	Tu apa benda makan dekat gelas-gelas...
B266:	Tanya orang-orang kat belakang...
C267:	Tu Normah ya?
D268:	Long, mana?
E269:	Habis.
A270:	Ni... sikit ni ha.... Ana makan kuih apa tadi?

A271:	Li, ni air kopi.
B272:	Aku... cicah.
A273:	Air kopi.
B274:	Buat air kopi.
A275:	Air teh.
C276:	Sakitlah Long, alahai.
B277:	Bawang...
D278:	Orang kat dalam tu dah balik?
B279:	Tak ada, Mak engkau tak ada.
B280:	Aku dah 2-3 bulan dah.
C281:	Ada lagi kuih.

A282:	Ha, Diah, ni memang tak payah goreng ni.
A283:	Memang ada dalam ini.
B284:	Makan.
C285:	Hei Diah, masuk dalam satu bekas, letak atas meja.
C286:	Letak atas meja sana.
D287:	Along ni memang asyik nak minum aje.
A288:	Gula ni letak kak.
B289:	Ha, letak kat situ.
C290:	Kak Long, Kak Long, Esah panggil.
D291:	Ha.
C292:	Esah panggil.
D293:	Mana.

A294:	Mak, ha... a... a...
B295:	Tolong hidang Long.
C296:	Tak kenal, apa khabar Wak?
C297:	Eh Kak Nab.
B298:	Tolong hidang.
C299:	Mana Idah tahu, segala-galanya ada.
C300:	Tak ada?
C301:	Ha...
D302:	Eh, Esah!
D303:	Ada lagi ya.
E304:	Tapi masak lontong.

A305:	Tak ada lagi...
A306:	Esah panggil.
B307:	Long...
C308:	Siapa ada makan?
D309:	Pahal?
D310:	Ha... apa benda...

A311:	Nah.
B312:	Kerja... mana dapat cuti.
C313:	Eh, aku beli seluar jean ke.
C314:	Pergi ambil.
D315:	Ha?
A316:	... makan makjun.

A317:	Apa ni?
B318:	Makanlah.
C319:	Dah, oh dah.
A320:	Takut.
D321:	Iyalah, orang tak biasa, kalau biasa.
C322:	Ilah.
A323:	Sudah, sudah, masuk dalam tu, sudah.
B324:	Er... Long

A325:	Dah berapa hari?
B326:	Budak-budak ni.
C327:	... ni benda ni kenapa?
D328:	Telefon dia.
E329:	Kakak telefon...

A330:	Pak Uda.
A331:	Senduk nasi mana Mak?
B332:	Hai.
A333:	He'eh, bila sampai.
B334:	Baru.
A335:	Jangan duduk sini, bahaya, bahaya.
A336:	Ha... nanti masuk hospital terus sakit... dah.
A337:	Jangan duduk sini bahaya tu....
B338:	Ayah!
C339:	Mak, nak makan nasi.
D340:	Dalam tu, dalam tapis.
E341:	Apa benda?
A342:	Kejap, pakai senduk, ha... senduk.
B343:	Ayah...
A344:	Atas kepala.
C345:	Dah rasa Yah?
A346:	Ok, Ok.

A347:	Ini, mana tutupnya...
B348:	Tadi.
C349:	Ha, ini sampah.
D350:	Saripah hantar tanda tadi.
D351:	Jadi kalau...
E352:	Eh, dah ambil.
A353:	Tolong Nor, Zi...
F354:	Mak, seluar mana?

A355:	Tahan, tahan, tahan.
B356:	Nak apa Long?
C357:	Eh, pisau sini satu, pisau, pisau.
D358:	Mak Ngah....

A359:	Angah mana?
B360:	Bang, air milo bang satu.
B361:	Ni, Amir nak.
C362:	Bah, milo Bah.
D363:	Abang mana abang?

A364:	Mak, apa nak?
A365:	Nak apa?
B366:	Nak berapa Long?
C367:	Nak dua.
D368:	Minta Mak.

A369:	Hei, makanlah, nanti kalau habis Mama tambah.
A370:	Boy!
B371:	Kak, air ni...
C372:	Eh, kat mana engkau ambil surat khabar tadi?
D373:	Kecil-kecil best.

A374:	Ei, teksi ni ha.
B375:	Kenapa?
B376:	Sudah makan.
C377:	Mak, mak.
D378:	Letak limau ya.
E379:	Berapa?
F380:	58.

A381:	Boleh telan tak ha?
B382:	Ni pisau....
C383:	Makanlah, jangan main-main.
A384:	Tak, lada ni tertelan...

A385:	Makan comot.
A386:	Camot tak... makan macam ni.
A387:	Hei, hei.
A388:	Eh, makan macam ni.

A389:	Yah, kalau kaki, kena masak lama sikit, kan...
B390:	Goreng...
C391:	Berapa beranak, 5 beranak?
C392:	Kalau nak makan, pergi dapur.

A393:	Ambil, ambil.
B394:	ljah dah makan?
C395:	Mak, Cik, Cik.

A396:	Perempuan, lelaki.
B397:	Perempuan.
A398:	Mak Long, unjukkan atas peti tu Mak Long.
B399:	Ya...
C400:	... kain kuning.
A401:	Ada orang nak guna.
B402:	Ya ke mak?
C403:	Cukup dah?
C404:	... nak penuh?
D405:	Dah.
E406:	Sekali dia...

A407:	Eh, kenapa tak makan?
B408:	Pahit!
A409:	Pahit?
A410:	Tapi, tadi kita dah makan kan tadi.
C411:	Kena masuk dalam peti ais, lepas tu baru boleh makan.
A412:	Ooh... tapi sebelum tu, malam pertama kita tu ok aje.
C413:	Biasalah... saya pun rasa jugak.

D414:	Eh, Mak Utih Nab pesan, kena beri kau bunga.
