Subcorp	Filename	ID	Start	End	Text	Comment	Role	ParentID	doc_completeness	prodrop	1st_S	1st_DO	1st_IO	1st_P	2nd_S	2nd_DO	2nd_IO	2nd_P	3rd_S	3rd_DO	3rd_IO	3rd_P
Texts	2005-Kelantan1.txt	0	14	17	nak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	1	47	51	Buat					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	2	77	80	Nak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	3	117	126	Agak-agak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	3	140	145	boleh					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	5	183	186	nak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	6	213	218	Minta					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	7	244	249	Ambil					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	7	260	263	nak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	9	339	342	kat					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2005-Kelantan1.txt	9	333	338	letak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	9	303	309	Tolong					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	9	310	316	angkat					1	0	1	0	0	0	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	12	456	461	bawa,					1	0	0	0	1	0	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	14	559	562	Dok					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	16	611	618	Marilah					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	17	640	643	Ada					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	18	672	677	pergi					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	18	748	751	nak					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	19	792	796	tahu					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	19	805	809	akan					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	20	849	852	tak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	21	906	918	kelam-kabut 					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	22	969	972	dok					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	23	1001	1004	Nak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	26	1082	1086	Diet					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	28	1160	1165	makin					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	29	1192	1195	tak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	29	1227	1232	habis					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	30	1255	1260	Sakit					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	30	1275	1278	dok					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	30	1284	1289	ulang					1	0	0	1	0	0	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	30	1272	1274	ni					1	0	0	0	1	0	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	37	1472	1478	senang					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	38	1519	1524	macam					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	40	1600	1603	Dok					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	43	1734	1739	jumpa					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	43	1752	1756	naik					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	45	1840	1845	duduk					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	46	1905	1910	pergi					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	48	1989	1999	besar-besa					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	49	2017	2022	Habis					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	55	2216	2222	Pasang					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	57	2305	2308	nak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	57	2329	2332	tak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	58	2348	2351	Nak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	59	2379	2382	tak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	60	2404	2407	tak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	60	2412	2413	,					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2005-Kelantan1.txt	60	2414	2419	letak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	60	2420	2425	dalam					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2005-Kelantan1.txt	61	2443	2448	Letak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	62	2498	2502	buat					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	62	2503	2507	mari					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	62	2471	2476	Hiris					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	64	2568	2571	Nak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	65	2600	2605	Besar					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	65	2636	2642	sedang					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	66	2658	2664	Sesuai					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	67	2696	2701	Hiris					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	68	2746	2751	bukan					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	68	2779	2784	ambil					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	69	2809	2814	bukan					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	69	2843	2847	mari					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	70	2883	2890	mengata					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	71	2924	2929	sudah					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	72	2963	2967	baru					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	73	2987	2995	Ingatkah					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	73	3026	3031	pergi					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	74	3058	3061	dok					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	75	3144	3151	kenalah					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	77	3220	3223	nak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	78	3256	3261	hiris					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	81	3313	3317	Luas					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	83	3361	3365	Baru					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	84	3380	3384	kata					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	84	3402	3405	tak					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	85	3457	3460	nak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	89	3560	3566	senyak					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	90	3596	3602	banyak					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	91	3632	3635	nak					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	94	3718	3725	panggil					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	95	3748	3751	tak					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	95	3738	3741	Tak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	101	3986	3991	sebab					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2005-Kelantan1.txt	102	4055	4063	mengajak					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	102	4064	4069	pergi					1	0	0	1	0	0	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	104	4101	4105	Kena					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	112	4301	4304	Tak					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	113	4339	4342	tak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	113	4360	4367	agaknya					1	0	0	0	0	0	0	0	0	0	0	0	1
Texts	2005-Kelantan1.txt	114	4378	4382	Buat					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	114	4414	4420	banyak					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	115	4454	4457	Nak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	116	4485	4488	Tak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	117	4517	4522	Pergi					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	118	4550	4555	terus					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	119	4576	4579	Dah					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	121	4639	4644	Pergi					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	121	4656	4659	tak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	125	4770	4773	Nak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	127	4826	4829	tak					1	0	0	0	0	0	0	0	1	0	0	0	0
Texts	2005-Kelantan1.txt	128	4857	4862	Habis					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	129	4891	4897	potong					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	129	4898	4902	biar					1	0	0	0	0	0	0	0	0	0	0	1	0
Texts	2005-Kelantan1.txt	131	4965	4969	Mari					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	131	4984	4987	tak					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	132	5017	5020	nak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	133	5066	5071	boleh					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	134	5088	5094	Tolong					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	134	5118	5121	nak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	135	5139	5144	Ambil					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	135	5190	5193	tak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	136	5243	5251	bolehlah					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	139	5330	5336	takkan					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	140	5357	5365	Beritahu					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	140	5385	5390	pergi					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	144	5498	5501	Tak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	144	5528	5533	pergi					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	145	5569	5574	sibuk					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	146	5610	5615	Pergi					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	148	5706	5711	pergi					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	149	5735	5738	dah					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	151	5829	5833	Buat					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	156	6000	6005	bukan					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	156	6019	6023	ayam					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Kelantan1.txt	158	6057	6060	dah					1	0	0	0	0	0	0	0	1	0	0	0	0
Texts	2005-Kelantan1.txt	159	6079	6083	Bagi					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Kelantan1.txt	160	6139	6144	ambil					1	0	0	0	0	1	0	0	0	0	0	0	0
