Subcorp	\Filename	ID	Start	End	Text	Comment	Role	ParentID	doc_completeness	prosub	1st	2nd	address
2005	2005-Kelantan1.txt	1	38	41	Nab					1	0	0	1
2005	2005-Kelantan1.txt	29	291	296	Awang					1	0	0	1
2005	2005-Kelantan1.txt	2	404	407	Aku					1	1	0	0
2005	2005-Kelantan1.txt	3	597	605	Kak Long					1	0	0	1
2005	2005-Kelantan1.txt	4	1186	1190	kita					1	1	0	0
2005	2005-Kelantan1.txt	26	1942	1945	Aku					1	1	0	0
2005	2005-Kelantan1.txt	27	1976	1978	mu					1	0	1	0
2005	2005-Kelantan1.txt	28	3111	3115	kita					1	1	0	0
2005	2005-Kelantan1.txt	30	4018	4022	kita					1	1	0	0
2005	2005-Kelantan1.txt	31	4321	4325	kita					1	1	0	0
2005	2005-Kelantan1.txt	32	4445	4451	Pak Su					1	0	0	1
2005	2005-Kelantan1.txt	5	4761	4767	Pak Su					1	0	0	1
2005	2005-Kelantan1.txt	6	5286	5293	Pak Din					1	0	0	1
2005	2005-Kelantan1.txt	7	5665	5669	Kita					1	1	0	0
2005	2005-Kelantan1.txt	33	5880	5884	kita					1	1	0	0
2005	2005-Kelantan1.txt	34	5967	5970	aku					1	1	0	0
2005	2005-Kelantan1.txt	35	6135	6142	Mak Nik					1	0	0	1
2005	2005-Kelantan1.txt	8	6285	6292	Mak Cik					1	0	0	1
2005	2005-Kelantan1.txt	9	6813	6821	Kak Chik					1	0	0	1
2005	2005-Kelantan1.txt	10	6837	6845	Kak Chik					1	0	0	1
2005	2005-Kelantan1.txt	11	7196	7203	Kak Mah					1	0	1	0
2005	2005-Kelantan1.txt	12	7781	7788	Kak Mah					1	0	1	0
2005	2005-Kelantan1.txt	13	8429	8435	Pak Su					1	0	0	1
2005	2005-Kelantan1.txt	14	8443	8449	Pak Su					1	0	0	1
2005	2005-Kelantan1.txt	15	8557	8560	Mah					1	0	0	1
2005	2005-Kelantan1.txt	22	8903	8905	mu					1	0	1	0
2005	2005-Kelantan1.txt	23	8916	8918	Mu					1	0	1	0
2005	2005-Kelantan1.txt	16	9977	9982	Along					1	0	0	1
2005	2005-Kelantan1.txt	17	10102	10109	Pak Cik					1	0	0	1
2005	2005-Kelantan1.txt	21	10379	10386		02				1	0	0	1
