Subcorp	Filename	ID	Start	End	Text	Comment	Role	ParentID	doc_completeness	prodrop	1st_S	1st_DO	1st_IO	1st_P	2nd_S	2nd_DO	2nd_IO	2nd_P	3rd_S	3rd_DO	3rd_IO	3rd_P
Texts	2005-Perak1.txt	2	93	98	masuk					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	5	194	197	Tak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	6	234	243	potonglah					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	7	254	260	mailah					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	7	262	265	mai					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	12	443	444	,					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2005-Perak1.txt	16	709	712	tak					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Perak1.txt	17	741	745	rasa					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	20	834	841	Rasalah					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	20	895	899	rasa					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	23	981	985	yang					1	0	0	0	0	0	0	0	0	0	0	0	1
Texts	2005-Perak1.txt	25	1021	1028	Bagilah					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	30	1182	1185	tak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	31	1208	1216	Makanlah					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	32	1240	1245	ingat					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	34	1329	1330	7					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Perak1.txt	35	1365	1371	keluaq					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Perak1.txt	37	1419	1424	Tanya					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	41	1554	1559	Dapat					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	42	1579	1582	Ada					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Perak1.txt	42	1600	1605	depan					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Perak1.txt	44	1634	1638	Bagi					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	45	1695	1696	,					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2005-Perak1.txt	45	1697	1702	susah					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	45	1660	1666	Lembut					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Perak1.txt	49	1788	1792	Buat					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	54	1925	1928	ada					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Perak1.txt	55	1988	1991	nak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	56	2018	2023	Jolok					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	58	2066	2071	pakai					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Perak1.txt	58	2090	2096	banyak					1	0	0	0	0	0	0	0	0	0	0	0	1
Texts	2005-Perak1.txt	58	2113	2119	hilang					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Perak1.txt	60	2217	2223	sampai					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Perak1.txt	61	2295	2298	kat					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2005-Perak1.txt	61	2273	2278	nanti					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2005-Perak1.txt	64	2396	2401	dalam					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2005-Perak1.txt	68	2497	2502	Bubuh					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	68	2503	2507	atas					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2005-Perak1.txt	69	2542	2547	bubuh					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	69	2548	2551	kat					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2005-Perak1.txt	69	2567	2570	ada					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Perak1.txt	70	2586	2591	Bubuh					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	70	2592	2595	kat					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2005-Perak1.txt	71	2636	2641	dalam					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2005-Perak1.txt	72	2667	2672	dalam					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2005-Perak1.txt	75	2813	2818	Kunci					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	77	2931	2932	,					1	0	0	0	1	0	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	78	2983	2989	nampak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	78	3006	3009	tak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	78	3001	3005	tapi					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2005-Perak1.txt	78	2949	2954	Habis					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	78	2974	2979	Ligan					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	78	2979	2980	.					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2005-Perak1.txt	80	3087	3090	tak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	81	3120	3125	ingat					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	81	3127	3134	tinggal					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	81	3135	3140	dalam					1	0	0	0	0	0	0	0	0	0	1	0	0
Texts	2005-Perak1.txt	81	3148	3155	selamat					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Perak1.txt	83	3237	3243	hilang					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Perak1.txt	83	3284	3286	tu					1	0	0	0	1	0	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	84	3319	3321	pi					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	88	3455	3458	tak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	90	3559	3562	pie					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	91	3628	3630	pi					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	93	3703	3710	Sajalah					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	94	3739	3742	Tak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	95	3783	3793	ulang-alik					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	96	3812	3815	Hai					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Perak1.txt	97	3854	3860	Jangan					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	97	3877	3883	bohong					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Perak1.txt	98	3910	3919	kesianlah					1	0	0	0	0	0	0	0	0	1	0	0	0
