Subcorp	Filename	ID	Start	End	Text	Comment	Role	ParentID	doc_completeness	prodrop	1st_S	1st_DO	1st_IO	1st_P	2nd_S	2nd_DO	2nd_IO	2nd_P	3rd_S	3rd_DO	3rd_IO	3rd_P
Texts	2005-Selangor1.txt	3	171	179	keluarga					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Selangor1.txt	5	313	317	Dari					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Selangor1.txt	8	509	511	71					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Selangor1.txt	10	671	676	macam					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Selangor1.txt	12	799	805	babuci					1	0	0	0	1	0	0	0	0	0	0	0	0
Texts	2005-Selangor1.txt	13	865	871	datang					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Selangor1.txt	15	975	984	keturunan					1	0	0	0	1	0	0	0	0	0	0	0	0
Texts	2005-Selangor1.txt	16	1050	1052	Ba					1	0	0	0	0	0	0	0	0	0	0	1	0
Texts	2005-Selangor1.txt	18	1243	1246	tak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Selangor1.txt	19	1313	1318	Bapak					1	0	0	1	0	0	0	0	0	0	0	0	0
Texts	2005-Selangor1.txt	19	1294	1304	suka/suruh					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Selangor1.txt	21	1407	1408	,					1	0	0	0	1	0	0	0	0	0	0	0	0
Texts	2005-Selangor1.txt	22	1484	1494	setuju/tak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Selangor1.txt	22	1500	1507	panggil					1	0	0	0	0	0	0	0	0	0	0	1	0
Texts	2005-Selangor1.txt	25	1618	1625	panggil					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Selangor1.txt	26	1671	1678	panggil					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Selangor1.txt	26	1706	1709	tak					1	0	0	0	1	0	0	0	0	0	0	0	0
Texts	2005-Selangor1.txt	29	1896	1901	lebih					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Selangor1.txt	30	1942	1947	lebih					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Selangor1.txt	30	1928	1930	ke					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Selangor1.txt	33	2031	2040	panggilan					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Selangor1.txt	34	2086	2092	banyak					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Selangor1.txt	41	2460	2471	betul-betul					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Selangor1.txt	42	2584	2589	tanya					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Selangor1.txt	42	2647	2654	panggil					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Selangor1.txt	42	2590	2595	Maini					1	0	0	1	0	0	0	0	0	0	0	0	0
Texts	2005-Selangor1.txt	43	2667	2674	Panggil					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Selangor1.txt	43	2692	2696	Mamu					1	0	0	0	1	0	0	0	0	0	0	0	0
Texts	2005-Selangor1.txt	44	2703	2706	Pak					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Selangor1.txt	45	2757	2758	,					1	0	0	0	1	0	0	0	0	0	0	0	0
Texts	2005-Selangor1.txt	45	2772	2779	panggil					1	0	0	0	1	0	0	0	0	0	0	0	0
Texts	2005-Selangor1.txt	45	2744	2751	Sebelah					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Selangor1.txt	46	2815	2822	panggil					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Selangor1.txt	50	3020	3025	macam					1	0	0	0	0	0	0	0	1	0	0	0	0
Texts	2005-Selangor1.txt	51	3043	3050	panggil					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Selangor1.txt	51	3082	3091	panggilan					1	0	0	0	0	0	0	0	1	0	0	0	0
Texts	2005-Selangor1.txt	51	3092	3097	macam					1	0	0	0	0	0	0	0	1	0	0	0	0
Texts	2005-Selangor1.txt	52	3151	3154	Tuk					1	0	0	0	0	0	0	0	0	0	0	1	0
Texts	2005-Selangor1.txt	55	3349	3354	Macam					1	0	0	0	0	0	0	0	0	1	0	0	0
