P1:	Assalamualaikum cikgu.
C2:	Waalaikumussalam.
P3:	Saya ni nak dapatkan sedikit maklumat daripada cikgu.
P4:	Kami ada buat kajian tentang kata panggilan dalam keluarga, *pro_3rd_S* keluarga Melayu sahaja.
P5:	Jadi saya jumpa cikgu ni dalam majlis ni, saya di KL ni, saya dengar cikgu datang ke majlis ni dari utara ye?
C6:	*pro_1st_S* Dari Pulau Pinang.
P7:	Kalau boleh cikgu cerita sedikit tentang panggilan dalam keluarga, bapa, ayah, emak, adik-beradik cikgu, anak sedara menakan macam mana.
P8:	Cikgu ni umur berapa tahun?
C9:	*pro_1st_S* 71 tahun.
P10:	Jadi mungkin generasi cikgu panggilan berlainan, mungkin dalam adik-beradik cikgu, anak-anak cikgu lain pulak.
P11:	Kalau boleh cikgu cerita sikit *pro_3rd_S* macam mana.
C12:	Saya, keturunan saya berdarah campuran, keluarga bapak saya ni, dia keturunan Benggali sedikit.
C13:	Keturunan *pro_1st_P* babuci.
C14:	Sebab tu nama saya ada nama Ahmad Babuci, atuk saya, *pro_3rd_S* datang dari India.
C15:	Mak saya pulak orang Melayu Pulau Pinang.
C16:	Sebab kami di PP banyak, sedikit darah *pro_1st_P* keturunan Keling.
C17:	Jadi panggilan saya kepada bapak saya, saya panggil *pro_3rd_IO* Ba, banyak orang darah keturunan India dia panggil Ba.
C18:	Orang Melayu sana panggil Bapak, ada juga panggil Ayah/Abah.
C19:	Jadi selepas saya, saya tak mahu menggunakan perkataan Ba tu sebab *pro_1st_S* tak nampak Melayunya.
C20:	Sebab tu anak-anak saya *pro_1st_S* suka/suruh panggil *pro_1st_IO* Bapak.
P21:	Jadi anak-anak cikgu panggil cikgu Bapaklah.
C22:	Jadi cucu saya panggil Bapa anak *pro_1st_P* , ada panggil Abah, ada panggil Ayah, ada panggil Bapak.
C23:	Takda satu pun *pro_1st_S* setuju/tak bagi *pro_3rd_IO* panggil Ba.
C24:	Mungkin saya bahasa Melayu dapat keturunan saya.
C25:	Saya lari ke Melayu.
C26:	Tetapi saya tak mahu *pro_3rd_S* panggil Bak.
C27:	Saya tak suka panggilan Abah sebab *pro_1st_S* panggil abah, sebab saya rasa abah *pro_1st_P* tak Melayu.
C28:	Yang Melayu tu macam ayah, bapak, itu saya rasa lebih Melayu.
C29:	Sebab orang-orang kampung, dia orang lebih banyak panggil bapak, dia panggil Ayah.
C30:	Abah ni saya rasa *pro_3rd_S* lebih ke Arab sikit.
