Subcorp	Filename	ID	Start	End	Text	Comment	Role	ParentID	doc_completeness	prodrop	1st_S	1st_DO	1st_IO	1st_P	2nd_S	2nd_DO	2nd_IO	2nd_P	3rd_S	3rd_DO	3rd_IO	3rd_P
Texts	2005-Terengganu1.txt	0	10	13	nak					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Terengganu1.txt	0	26	29	nak					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Terengganu1.txt	1	56	63	kencing					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Terengganu1.txt	2	69	72	Tak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Terengganu1.txt	3	103	106	dah					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Terengganu1.txt	5	166	168	2½					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Terengganu1.txt	5	178	183	tahun					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Terengganu1.txt	6	212	215	dah					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Terengganu1.txt	6	238	241	dah					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Terengganu1.txt	7	280	283	nak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Terengganu1.txt	8	301	304	nak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Terengganu1.txt	10	359	364	Bukan					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Terengganu1.txt	11	417	422	besar					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Terengganu1.txt	12	437	443	Berapa					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Terengganu1.txt	13	456	457	2					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Terengganu1.txt	14	487	491	sini					1	0	0	0	0	0	0	0	0	0	0	1	0
Texts	2005-Terengganu1.txt	17	542	546	naik					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Terengganu1.txt	19	623	631	Ingatkan					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Terengganu1.txt	19	647	657	menghantar					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Terengganu1.txt	20	675	678	tak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Terengganu1.txt	21	699	703	jadi					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Terengganu1.txt	22	727	730	Nak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Terengganu1.txt	23	761	767	Taklah					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Terengganu1.txt	24	774	777	Ada					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Terengganu1.txt	25	788	792	Kena					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Terengganu1.txt	27	838	841	Nak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Terengganu1.txt	28	858	863	Kirim					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Terengganu1.txt	29	916	921	habis					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Terengganu1.txt	32	967	971	baru					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Terengganu1.txt	34	1004	1007	Tak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Terengganu1.txt	35	1033	1036	dok					1	0	0	0	1	0	0	0	0	0	0	0	0
Texts	2005-Terengganu1.txt	36	1068	1072	kira					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Terengganu1.txt	36	1053	1058	Masak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Terengganu1.txt	36	1073	1080	jadilah					1	0	0	0	0	0	0	0	0	1	0	0	0
Texts	2005-Terengganu1.txt	37	1087	1092	Boleh					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Terengganu1.txt	38	1117	1122	Makan					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Terengganu1.txt	41	1184	1187	nak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Terengganu1.txt	50	1422	1425	nak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Terengganu1.txt	50	1401	1409	Cakaplah					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Terengganu1.txt	51	1460	1463	Nak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Terengganu1.txt	52	1485	1488	Nak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Terengganu1.txt	53	1540	1542	ni					1	0	0	0	0	0	0	1	0	0	0	0	0
Texts	2005-Terengganu1.txt	54	1578	1581	nak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Terengganu1.txt	55	1592	1597	Duduk					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Terengganu1.txt	56	1634	1637	nak					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Terengganu1.txt	56	1644	1649	duduk					1	0	0	0	0	1	0	0	0	0	0	0	0
Texts	2005-Terengganu1.txt	57	1667	1670	Tak					1	1	0	0	0	0	0	0	0	0	0	0	0
Texts	2005-Terengganu1.txt	58	1687	1690	tak					1	0	0	0	0	1	0	0	0	0	0	0	0
